Timestamp,Distance(m)
2026-01-18 17:09:59.646,2.184
2026-01-18 17:09:59.647,2.206
2026-01-18 17:09:59.662,2.225
2026-01-18 17:09:59.678,2.256
2026-01-18 17:09:59.679,2.296
2026-01-18 17:09:59.695,2.319
2026-01-18 17:09:59.712,2.3
2026-01-18 17:09:59.730,2.293
2026-01-18 17:09:59.730,2.294
2026-01-18 17:09:59.746,2.289
2026-01-18 17:09:59.762,2.31
2026-01-18 17:09:59.778,2.361
2026-01-18 17:09:59.778,2.381
2026-01-18 17:09:59.795,2.407
2026-01-18 17:09:59.812,2.416
2026-01-18 17:09:59.812,2.42
2026-01-18 17:09:59.828,2.438
2026-01-18 17:09:59.845,2.444
2026-01-18 17:09:59.860,2.45
2026-01-18 17:09:59.860,2.446
2026-01-18 17:09:59.877,2.443
2026-01-18 17:09:59.894,2.443
2026-01-18 17:09:59.895,2.442
2026-01-18 17:09:59.912,2.44
2026-01-18 17:09:59.928,2.429
2026-01-18 17:09:59.946,2.421
2026-01-18 17:09:59.946,2.421
2026-01-18 17:09:59.961,2.422
2026-01-18 17:09:59.978,2.431
2026-01-18 17:09:59.979,2.43
2026-01-18 17:09:59.995,2.438
2026-01-18 17:10:00.013,2.452
2026-01-18 17:10:00.030,2.469
2026-01-18 17:10:00.031,2.493
2026-01-18 17:10:00.044,2.514
2026-01-18 17:10:00.062,2.534
2026-01-18 17:10:00.063,2.554
2026-01-18 17:10:00.077,2.582
2026-01-18 17:10:00.094,2.608
2026-01-18 17:10:00.110,2.635
2026-01-18 17:10:00.111,2.656
2026-01-18 17:10:00.126,2.674
2026-01-18 17:10:00.146,2.693
2026-01-18 17:10:00.162,2.716
2026-01-18 17:10:00.162,2.737
2026-01-18 17:10:00.179,2.749
2026-01-18 17:10:00.194,2.752
2026-01-18 17:10:00.196,2.744
2026-01-18 17:10:00.212,2.741
2026-01-18 17:10:00.227,2.752
2026-01-18 17:10:00.245,2.763
2026-01-18 17:10:00.246,2.77
2026-01-18 17:10:00.261,2.78
2026-01-18 17:10:00.287,2.805
2026-01-18 17:10:00.288,2.844
2026-01-18 17:10:00.296,2.865
2026-01-18 17:10:00.314,2.877
2026-01-18 17:10:00.328,2.882
2026-01-18 17:10:00.328,2.898
2026-01-18 17:10:00.345,2.907
2026-01-18 17:10:00.362,2.91
2026-01-18 17:10:00.362,2.911
2026-01-18 17:10:00.379,2.918
2026-01-18 17:10:00.395,2.938
2026-01-18 17:10:00.410,2.965
2026-01-18 17:10:00.411,2.975
2026-01-18 17:10:00.427,2.968
2026-01-18 17:10:00.444,2.982
2026-01-18 17:10:00.460,2.995
2026-01-18 17:10:00.460,3.011
2026-01-18 17:10:00.477,3.012
2026-01-18 17:10:00.495,3.011
2026-01-18 17:10:00.495,3.015
2026-01-18 17:10:00.512,3.022
2026-01-18 17:10:00.528,3.031
2026-01-18 17:10:00.545,3.034
2026-01-18 17:10:00.545,3.042
2026-01-18 17:10:00.562,3.06
2026-01-18 17:10:00.578,3.081
2026-01-18 17:10:00.579,3.102
2026-01-18 17:10:00.595,3.122
2026-01-18 17:10:00.632,3.132
2026-01-18 17:10:00.633,3.143
2026-01-18 17:10:00.633,3.15
2026-01-18 17:10:00.642,3.164
2026-01-18 17:10:00.662,3.177
2026-01-18 17:10:00.663,3.196
2026-01-18 17:10:00.678,3.199
2026-01-18 17:10:00.695,3.216
2026-01-18 17:10:00.711,3.239
2026-01-18 17:10:00.712,3.252
2026-01-18 17:10:00.730,3.266
2026-01-18 17:10:00.745,3.272
2026-01-18 17:10:00.761,3.277
2026-01-18 17:10:00.762,3.285
2026-01-18 17:10:00.780,3.295
2026-01-18 17:10:00.795,3.319
2026-01-18 17:10:00.795,3.355
2026-01-18 17:10:00.811,3.366
2026-01-18 17:10:00.828,3.441
2026-01-18 17:10:00.845,3.566
2026-01-18 17:10:00.846,3.521
2026-01-18 17:10:00.861,3.497
2026-01-18 17:10:00.879,3.478
2026-01-18 17:10:00.879,3.48
2026-01-18 17:10:00.895,3.571
2026-01-18 17:10:00.911,3.586
2026-01-18 17:10:00.928,3.556
2026-01-18 17:10:00.929,3.527
2026-01-18 17:10:00.945,3.5
2026-01-18 17:10:00.961,3.485
2026-01-18 17:10:00.978,3.48
2026-01-18 17:10:00.980,3.484
2026-01-18 17:10:00.995,3.494
2026-01-18 17:10:01.012,3.569
2026-01-18 17:10:01.012,3.562
2026-01-18 17:10:01.027,3.634
2026-01-18 17:10:01.046,3.601
2026-01-18 17:10:01.046,3.602
2026-01-18 17:10:01.061,3.731
2026-01-18 17:10:01.078,3.715
2026-01-18 17:10:01.101,3.698
2026-01-18 17:10:01.102,3.678
2026-01-18 17:10:01.119,3.708
2026-01-18 17:10:01.119,3.782
2026-01-18 17:10:01.135,3.891
2026-01-18 17:10:01.146,3.978
2026-01-18 17:10:01.161,3.919
2026-01-18 17:10:01.179,3.875
2026-01-18 17:10:01.179,3.849
2026-01-18 17:10:01.195,3.82
2026-01-18 17:10:01.212,3.805
2026-01-18 17:10:01.229,3.792
2026-01-18 17:10:01.229,3.774
2026-01-18 17:10:01.245,3.822
2026-01-18 17:10:01.261,3.899
2026-01-18 17:10:01.285,3.972
2026-01-18 17:10:01.286,3.982
2026-01-18 17:10:01.287,4.009
2026-01-18 17:10:01.311,3.978
2026-01-18 17:10:01.311,3.951
2026-01-18 17:10:01.329,3.975
2026-01-18 17:10:01.345,3.974
2026-01-18 17:10:01.362,3.978
2026-01-18 17:10:01.363,4.025
2026-01-18 17:10:01.377,3.993
2026-01-18 17:10:01.393,3.973
2026-01-18 17:10:01.411,3.955
2026-01-18 17:10:01.411,3.945
2026-01-18 17:10:01.428,3.952
2026-01-18 17:10:01.444,3.971
2026-01-18 17:10:01.444,3.975
2026-01-18 17:10:01.461,3.979
2026-01-18 17:10:01.478,3.983
2026-01-18 17:10:01.478,3.983
2026-01-18 17:10:01.493,3.984
2026-01-18 17:10:01.511,4.01
2026-01-18 17:10:01.528,4.019
2026-01-18 17:10:01.529,4.02
2026-01-18 17:10:01.545,4.022
2026-01-18 17:10:01.561,4.029
2026-01-18 17:10:01.578,4.038
2026-01-18 17:10:01.578,4.043
2026-01-18 17:10:01.594,4.06
2026-01-18 17:10:01.611,4.182
2026-01-18 17:10:01.612,4.29
2026-01-18 17:10:01.628,4.393
2026-01-18 17:10:01.644,4.472
2026-01-18 17:10:01.661,4.4
2026-01-18 17:10:01.662,4.484
2026-01-18 17:10:01.678,4.564
2026-01-18 17:10:01.695,4.621
2026-01-18 17:10:01.695,4.679
2026-01-18 17:10:01.711,4.739
2026-01-18 17:10:01.728,4.787
2026-01-18 17:10:01.746,4.77
2026-01-18 17:10:01.746,4.817
2026-01-18 17:10:01.762,4.848
2026-01-18 17:10:01.779,4.869
2026-01-18 17:10:01.779,4.864
2026-01-18 17:10:01.794,4.843
2026-01-18 17:10:01.812,4.786
2026-01-18 17:10:01.828,4.727
2026-01-18 17:10:01.828,4.727
2026-01-18 17:10:01.844,4.712
2026-01-18 17:10:01.861,4.676
2026-01-18 17:10:01.879,4.639
2026-01-18 17:10:01.880,4.621
2026-01-18 17:10:01.894,4.594
2026-01-18 17:10:01.910,4.58
2026-01-18 17:10:01.911,4.563
2026-01-18 17:10:01.927,4.555
2026-01-18 17:10:01.945,4.556
2026-01-18 17:10:01.962,4.573
2026-01-18 17:10:01.963,4.595
2026-01-18 17:10:01.999,4.601
2026-01-18 17:10:02.000,4.61
