Timestamp,Distance(m)
2026-01-14 16:34:29.597,0.971
2026-01-14 16:34:29.598,0.987
2026-01-14 16:34:29.613,1.002
2026-01-14 16:34:29.630,1.03
2026-01-14 16:34:29.630,1.051
2026-01-14 16:34:29.647,1.074
2026-01-14 16:34:29.664,1.091
2026-01-14 16:34:29.681,1.108
2026-01-14 16:34:29.681,1.126
2026-01-14 16:34:29.697,1.154
2026-01-14 16:34:29.714,1.177
2026-01-14 16:34:29.714,1.196
2026-01-14 16:34:29.730,1.211
2026-01-14 16:34:29.747,1.222
2026-01-14 16:34:29.763,1.235
2026-01-14 16:34:29.763,1.248
2026-01-14 16:34:29.781,1.265
2026-01-14 16:34:29.796,1.279
2026-01-14 16:34:29.813,1.296
2026-01-14 16:34:29.813,1.309
2026-01-14 16:34:29.830,1.323
2026-01-14 16:34:29.846,1.342
2026-01-14 16:34:29.847,1.354
2026-01-14 16:34:29.863,1.368
2026-01-14 16:34:29.879,1.385
2026-01-14 16:34:29.895,1.406
2026-01-14 16:34:29.896,1.424
2026-01-14 16:34:29.913,1.449
2026-01-14 16:34:29.929,1.467
2026-01-14 16:34:29.930,1.483
2026-01-14 16:34:29.946,1.503
2026-01-14 16:34:29.963,1.512
2026-01-14 16:34:29.980,1.534
2026-01-14 16:34:29.980,1.558
2026-01-14 16:34:29.996,1.58
2026-01-14 16:34:30.013,1.595
2026-01-14 16:34:30.014,1.614
2026-01-14 16:34:30.029,1.623
2026-01-14 16:34:30.047,1.634
2026-01-14 16:34:30.062,1.638
2026-01-14 16:34:30.063,1.653
2026-01-14 16:34:30.080,1.658
2026-01-14 16:34:30.130,1.657
2026-01-14 16:34:30.130,1.657
2026-01-14 16:34:30.131,1.667
2026-01-14 16:34:30.131,1.676
2026-01-14 16:34:30.137,1.685
2026-01-14 16:34:30.146,1.695
2026-01-14 16:34:30.162,1.697
2026-01-14 16:34:30.178,1.7
2026-01-14 16:34:30.200,1.697
2026-01-14 16:34:30.200,1.684
2026-01-14 16:34:30.212,1.676
2026-01-14 16:34:30.230,1.669
2026-01-14 16:34:30.230,1.659
2026-01-14 16:34:30.246,1.653
2026-01-14 16:34:30.262,1.647
2026-01-14 16:34:30.279,1.644
2026-01-14 16:34:30.279,1.643
2026-01-14 16:34:30.296,1.641
2026-01-14 16:34:30.312,1.647
2026-01-14 16:34:30.313,1.656
2026-01-14 16:34:30.329,1.681
2026-01-14 16:34:30.346,1.702
2026-01-14 16:34:30.363,1.713
2026-01-14 16:34:30.363,1.724
2026-01-14 16:34:30.380,1.741
2026-01-14 16:34:30.395,1.75
2026-01-14 16:34:30.412,1.768
2026-01-14 16:34:30.412,1.776
2026-01-14 16:34:30.430,1.783
2026-01-14 16:34:30.445,1.794
2026-01-14 16:34:30.446,1.81
2026-01-14 16:34:30.463,1.823
2026-01-14 16:34:30.479,1.849
2026-01-14 16:34:30.498,1.863
2026-01-14 16:34:30.498,1.878
2026-01-14 16:34:30.514,1.882
2026-01-14 16:34:30.530,1.889
2026-01-14 16:34:30.531,1.912
2026-01-14 16:34:30.546,1.953
2026-01-14 16:34:30.564,2.002
2026-01-14 16:34:30.565,2.012
2026-01-14 16:34:30.580,2.015
2026-01-14 16:34:30.597,2.004
2026-01-14 16:34:30.613,1.997
2026-01-14 16:34:30.614,1.99
2026-01-14 16:34:30.629,1.993
2026-01-14 16:34:30.649,2.006
2026-01-14 16:34:30.650,2.007
2026-01-14 16:34:30.663,2.028
2026-01-14 16:34:30.680,2.036
2026-01-14 16:34:30.697,2.05
2026-01-14 16:34:30.713,2.055
2026-01-14 16:34:30.714,2.072
2026-01-14 16:34:30.731,2.092
2026-01-14 16:34:30.747,2.138
2026-01-14 16:34:30.747,2.179
2026-01-14 16:34:30.763,2.204
2026-01-14 16:34:30.780,2.228
2026-01-14 16:34:30.796,2.251
2026-01-14 16:34:30.797,2.275
2026-01-14 16:34:30.814,2.298
2026-01-14 16:34:30.830,2.331
2026-01-14 16:34:30.830,2.359
2026-01-14 16:34:30.846,2.394
2026-01-14 16:34:30.864,2.419
2026-01-14 16:34:30.880,2.452
2026-01-14 16:34:30.881,2.479
2026-01-14 16:34:30.897,2.514
2026-01-14 16:34:30.913,2.553
2026-01-14 16:34:30.913,2.586
2026-01-14 16:34:30.929,2.621
2026-01-14 16:34:30.948,2.657
2026-01-14 16:34:30.964,2.691
2026-01-14 16:34:30.964,2.731
2026-01-14 16:34:30.984,2.761
2026-01-14 16:34:30.985,2.775
2026-01-14 16:34:30.997,2.787
2026-01-14 16:34:31.020,2.804
2026-01-14 16:34:31.023,2.822
2026-01-14 16:34:31.045,2.832
2026-01-14 16:34:31.046,2.834
2026-01-14 16:34:31.064,2.842
2026-01-14 16:34:31.080,2.855
2026-01-14 16:34:31.081,2.855
2026-01-14 16:34:31.096,2.873
2026-01-14 16:34:31.114,2.886
2026-01-14 16:34:31.130,2.921
2026-01-14 16:34:31.131,2.974
2026-01-14 16:34:31.147,3.018
2026-01-14 16:34:31.163,3.046
2026-01-14 16:34:31.180,3.067
2026-01-14 16:34:31.181,3.086
2026-01-14 16:34:31.196,3.105
2026-01-14 16:34:31.221,3.101
2026-01-14 16:34:31.221,3.114
2026-01-14 16:34:31.229,3.12
2026-01-14 16:34:31.248,3.128
2026-01-14 16:34:31.263,3.131
2026-01-14 16:34:31.263,3.123
2026-01-14 16:34:31.280,3.12
2026-01-14 16:34:31.296,3.111
2026-01-14 16:34:31.313,3.109
2026-01-14 16:34:31.314,3.1
2026-01-14 16:34:31.329,3.094
2026-01-14 16:34:31.347,3.082
2026-01-14 16:34:31.347,3.069
2026-01-14 16:34:31.363,3.056
2026-01-14 16:34:31.381,3.038
2026-01-14 16:34:31.382,3.027
2026-01-14 16:34:31.397,3.017
2026-01-14 16:34:31.413,3.007
2026-01-14 16:34:31.430,3.019
2026-01-14 16:34:31.430,3.045
2026-01-14 16:34:31.472,3.064
2026-01-14 16:34:31.473,3.081
2026-01-14 16:34:31.473,3.088
2026-01-14 16:34:31.481,3.099
2026-01-14 16:34:31.497,3.119
2026-01-14 16:34:31.513,3.141
2026-01-14 16:34:31.513,3.2
2026-01-14 16:34:31.529,3.22
2026-01-14 16:34:31.548,3.22
2026-01-14 16:34:31.562,3.221
2026-01-14 16:34:31.562,3.217
2026-01-14 16:34:31.580,3.216
2026-01-14 16:34:31.596,3.208
2026-01-14 16:34:31.613,3.213
2026-01-14 16:34:31.613,3.216
2026-01-14 16:34:31.630,3.219
2026-01-14 16:34:31.647,3.227
2026-01-14 16:34:31.647,3.236
2026-01-14 16:34:31.663,3.242
2026-01-14 16:34:31.680,3.272
2026-01-14 16:34:31.698,3.366
2026-01-14 16:34:31.699,3.388
2026-01-14 16:34:31.713,3.397
2026-01-14 16:34:31.731,3.405
2026-01-14 16:34:31.732,3.413
2026-01-14 16:34:31.746,3.447
2026-01-14 16:34:31.762,3.468
2026-01-14 16:34:31.779,3.504
2026-01-14 16:34:31.780,3.516
2026-01-14 16:34:31.796,3.52
2026-01-14 16:34:31.813,3.521
2026-01-14 16:34:31.813,3.522
2026-01-14 16:34:31.829,3.531
2026-01-14 16:34:31.846,3.535
2026-01-14 16:34:31.863,3.546
2026-01-14 16:34:31.863,3.563
2026-01-14 16:34:31.879,3.581
2026-01-14 16:34:31.897,3.6
2026-01-14 16:34:31.898,3.618
2026-01-14 16:34:31.913,3.651
2026-01-14 16:34:31.930,3.678
2026-01-14 16:34:31.946,3.716
2026-01-14 16:34:31.947,3.751
2026-01-14 16:34:31.963,3.795
2026-01-14 16:34:31.980,3.833
2026-01-14 16:34:31.996,3.868
2026-01-14 16:34:31.997,3.904
2026-01-14 16:34:32.013,3.943
2026-01-14 16:34:32.030,3.976
2026-01-14 16:34:32.031,4.005
2026-01-14 16:34:32.046,4.034
2026-01-14 16:34:32.063,4.06
2026-01-14 16:34:32.080,4.086
2026-01-14 16:34:32.081,4.117
2026-01-14 16:34:32.096,4.149
2026-01-14 16:34:32.114,4.172
2026-01-14 16:34:32.115,4.209
2026-01-14 16:34:32.130,4.233
2026-01-14 16:34:32.147,4.244
2026-01-14 16:34:32.163,4.252
2026-01-14 16:34:32.163,4.268
2026-01-14 16:34:32.179,4.281
2026-01-14 16:34:32.203,4.297
2026-01-14 16:34:32.203,4.314
2026-01-14 16:34:32.212,4.332
2026-01-14 16:34:32.229,4.363
2026-01-14 16:34:32.246,4.386
2026-01-14 16:34:32.247,4.413
2026-01-14 16:34:32.262,4.442
2026-01-14 16:34:32.279,4.461
2026-01-14 16:34:32.296,4.481
2026-01-14 16:34:32.297,4.501
2026-01-14 16:34:32.313,4.523
2026-01-14 16:34:32.329,4.536
