Timestamp,Distance(m)
2026-01-14 16:28:26.775,2.125
2026-01-14 16:28:26.776,2.139
2026-01-14 16:28:26.792,2.15
2026-01-14 16:28:26.809,2.158
2026-01-14 16:28:26.809,2.164
2026-01-14 16:28:26.825,2.174
2026-01-14 16:28:26.841,2.185
2026-01-14 16:28:26.858,2.204
2026-01-14 16:28:26.858,2.216
2026-01-14 16:28:26.875,2.23
2026-01-14 16:28:26.891,2.242
2026-01-14 16:28:26.892,2.259
2026-01-14 16:28:26.908,2.276
2026-01-14 16:28:26.942,2.293
2026-01-14 16:28:26.942,2.312
2026-01-14 16:28:26.960,2.33
2026-01-14 16:28:26.975,2.351
2026-01-14 16:28:26.976,2.369
2026-01-14 16:28:27.036,2.384
2026-01-14 16:28:27.038,2.396
2026-01-14 16:28:27.038,2.412
2026-01-14 16:28:27.039,2.434
2026-01-14 16:28:27.039,2.46
2026-01-14 16:28:27.059,2.465
2026-01-14 16:28:27.076,2.487
2026-01-14 16:28:27.076,2.518
2026-01-14 16:28:27.092,2.54
2026-01-14 16:28:27.110,2.541
2026-01-14 16:28:27.110,2.542
2026-01-14 16:28:27.125,2.555
2026-01-14 16:28:27.142,2.569
2026-01-14 16:28:27.159,2.577
2026-01-14 16:28:27.160,2.576
2026-01-14 16:28:27.176,2.57
2026-01-14 16:28:27.191,2.576
2026-01-14 16:28:27.192,2.592
2026-01-14 16:28:27.208,2.593
2026-01-14 16:28:27.226,2.596
2026-01-14 16:28:27.242,2.612
2026-01-14 16:28:27.242,2.626
2026-01-14 16:28:27.259,2.64
2026-01-14 16:28:27.281,2.646
2026-01-14 16:28:27.281,2.648
2026-01-14 16:28:27.291,2.652
2026-01-14 16:28:27.308,2.652
2026-01-14 16:28:27.324,2.656
2026-01-14 16:28:27.325,2.665
2026-01-14 16:28:27.342,2.68
2026-01-14 16:28:27.359,2.693
2026-01-14 16:28:27.360,2.705
2026-01-14 16:28:27.375,2.716
2026-01-14 16:28:27.392,2.724
2026-01-14 16:28:27.409,2.732
2026-01-14 16:28:27.410,2.745
2026-01-14 16:28:27.425,2.754
2026-01-14 16:28:27.441,2.764
2026-01-14 16:28:27.458,2.78
2026-01-14 16:28:27.459,2.801
2026-01-14 16:28:27.475,2.808
2026-01-14 16:28:27.492,2.818
2026-01-14 16:28:27.493,2.837
2026-01-14 16:28:27.510,2.843
2026-01-14 16:28:27.525,2.847
2026-01-14 16:28:27.540,2.858
2026-01-14 16:28:27.542,2.87
2026-01-14 16:28:27.559,2.879
2026-01-14 16:28:27.575,2.888
2026-01-14 16:28:27.576,2.893
2026-01-14 16:28:27.591,2.906
2026-01-14 16:28:27.609,2.909
2026-01-14 16:28:27.626,2.915
2026-01-14 16:28:27.626,2.928
2026-01-14 16:28:27.641,2.944
2026-01-14 16:28:27.657,2.958
2026-01-14 16:28:27.675,2.973
2026-01-14 16:28:27.675,2.98
2026-01-14 16:28:27.693,2.996
2026-01-14 16:28:27.709,3.013
2026-01-14 16:28:27.709,3.02
2026-01-14 16:28:27.725,3.029
2026-01-14 16:28:27.742,3.033
2026-01-14 16:28:27.758,3.048
2026-01-14 16:28:27.759,3.061
2026-01-14 16:28:27.775,3.074
2026-01-14 16:28:27.791,3.087
2026-01-14 16:28:27.807,3.1
2026-01-14 16:28:27.808,3.115
2026-01-14 16:28:27.824,3.125
2026-01-14 16:28:27.842,3.134
2026-01-14 16:28:27.843,3.15
2026-01-14 16:28:27.859,3.169
2026-01-14 16:28:27.875,3.177
2026-01-14 16:28:27.876,3.193
2026-01-14 16:28:27.890,3.208
2026-01-14 16:28:27.908,3.22
2026-01-14 16:28:27.924,3.228
2026-01-14 16:28:27.925,3.243
2026-01-14 16:28:27.941,3.268
2026-01-14 16:28:27.959,3.286
2026-01-14 16:28:27.960,3.296
2026-01-14 16:28:27.975,3.308
2026-01-14 16:28:27.991,3.32
2026-01-14 16:28:28.008,3.344
2026-01-14 16:28:28.009,3.367
2026-01-14 16:28:28.025,3.38
2026-01-14 16:28:28.041,3.386
2026-01-14 16:28:28.059,3.388
2026-01-14 16:28:28.059,3.396
2026-01-14 16:28:28.076,3.413
2026-01-14 16:28:28.091,3.429
2026-01-14 16:28:28.092,3.447
2026-01-14 16:28:28.108,3.462
2026-01-14 16:28:28.123,3.472
2026-01-14 16:28:28.141,3.487
2026-01-14 16:28:28.141,3.498
2026-01-14 16:28:28.159,3.494
2026-01-14 16:28:28.174,3.493
2026-01-14 16:28:28.191,3.501
2026-01-14 16:28:28.192,3.532
2026-01-14 16:28:28.208,3.558
2026-01-14 16:28:28.225,3.588
2026-01-14 16:28:28.225,3.613
2026-01-14 16:28:28.241,3.637
2026-01-14 16:28:28.258,3.649
