Timestamp,Distance(m)
2026-01-14 16:14:28.533,1.361
2026-01-14 16:14:28.551,1.366
2026-01-14 16:14:28.552,1.374
2026-01-14 16:14:28.568,1.386
2026-01-14 16:14:28.583,1.404
2026-01-14 16:14:28.584,1.416
2026-01-14 16:14:28.601,1.432
2026-01-14 16:14:28.620,1.45
2026-01-14 16:14:28.620,1.469
2026-01-14 16:14:28.635,1.489
2026-01-14 16:14:28.651,1.51
2026-01-14 16:14:28.669,1.524
2026-01-14 16:14:28.669,1.537
2026-01-14 16:14:28.685,1.553
2026-01-14 16:14:28.701,1.561
2026-01-14 16:14:28.717,1.573
2026-01-14 16:14:28.718,1.588
2026-01-14 16:14:28.735,1.601
2026-01-14 16:14:28.750,1.611
2026-01-14 16:14:28.751,1.625
2026-01-14 16:14:28.766,1.642
2026-01-14 16:14:28.783,1.659
2026-01-14 16:14:28.800,1.671
2026-01-14 16:14:28.800,1.676
2026-01-14 16:14:28.817,1.685
2026-01-14 16:14:28.834,1.702
2026-01-14 16:14:28.835,1.715
2026-01-14 16:14:28.850,1.717
2026-01-14 16:14:28.866,1.725
2026-01-14 16:14:28.883,1.739
2026-01-14 16:14:28.883,1.756
2026-01-14 16:14:28.899,1.765
2026-01-14 16:14:28.921,1.773
2026-01-14 16:14:28.922,1.791
2026-01-14 16:14:28.933,1.801
2026-01-14 16:14:28.949,1.799
2026-01-14 16:14:28.967,1.807
2026-01-14 16:14:28.967,1.815
2026-01-14 16:14:28.983,1.822
2026-01-14 16:14:29.000,1.832
2026-01-14 16:14:29.016,1.845
2026-01-14 16:14:29.016,1.85
2026-01-14 16:14:29.033,1.855
2026-01-14 16:14:29.050,1.86
2026-01-14 16:14:29.050,1.867
2026-01-14 16:14:29.067,1.873
2026-01-14 16:14:29.084,1.88
2026-01-14 16:14:29.101,1.89
2026-01-14 16:14:29.101,1.905
2026-01-14 16:14:29.119,1.918
2026-01-14 16:14:29.140,1.935
2026-01-14 16:14:29.140,1.943
2026-01-14 16:14:29.150,1.948
2026-01-14 16:14:29.168,1.959
2026-01-14 16:14:29.184,1.98
2026-01-14 16:14:29.184,2.0
2026-01-14 16:14:29.201,2.008
2026-01-14 16:14:29.218,2.021
2026-01-14 16:14:29.219,2.038
2026-01-14 16:14:29.233,2.055
2026-01-14 16:14:29.252,2.067
2026-01-14 16:14:29.268,2.078
2026-01-14 16:14:29.269,2.086
2026-01-14 16:14:29.284,2.103
2026-01-14 16:14:29.302,2.112
2026-01-14 16:14:29.302,2.12
2026-01-14 16:14:29.318,2.13
2026-01-14 16:14:29.334,2.14
2026-01-14 16:14:29.352,2.153
2026-01-14 16:14:29.352,2.165
2026-01-14 16:14:29.368,2.182
2026-01-14 16:14:29.386,2.198
2026-01-14 16:14:29.387,2.207
2026-01-14 16:14:29.401,2.208
