Timestamp,Distance(m)
2026-01-14 16:23:56.596,1.849
2026-01-14 16:23:56.597,1.855
2026-01-14 16:23:56.605,1.855
2026-01-14 16:23:56.621,1.858
2026-01-14 16:23:56.638,1.863
2026-01-14 16:23:56.638,1.875
2026-01-14 16:23:56.655,1.896
2026-01-14 16:23:56.670,1.914
2026-01-14 16:23:56.671,1.924
2026-01-14 16:23:56.688,1.93
2026-01-14 16:23:56.704,1.934
2026-01-14 16:23:56.721,1.938
2026-01-14 16:23:56.721,1.946
2026-01-14 16:23:56.738,1.958
2026-01-14 16:23:56.753,1.968
2026-01-14 16:23:56.770,1.975
2026-01-14 16:23:56.771,1.988
2026-01-14 16:23:56.787,1.997
2026-01-14 16:23:56.803,2.003
2026-01-14 16:23:56.804,2.012
2026-01-14 16:23:56.820,2.025
2026-01-14 16:23:56.837,2.037
2026-01-14 16:23:56.854,2.051
2026-01-14 16:23:56.854,2.064
2026-01-14 16:23:56.871,2.074
2026-01-14 16:23:56.887,2.085
2026-01-14 16:23:56.888,2.105
2026-01-14 16:23:56.904,2.125
2026-01-14 16:23:56.920,2.146
2026-01-14 16:23:56.938,2.168
2026-01-14 16:23:56.938,2.184
2026-01-14 16:23:56.954,2.198
2026-01-14 16:23:56.982,2.21
2026-01-14 16:23:56.983,2.225
2026-01-14 16:23:56.984,2.237
2026-01-14 16:23:57.004,2.25
2026-01-14 16:23:57.021,2.255
2026-01-14 16:23:57.021,2.255
2026-01-14 16:23:57.055,2.257
2026-01-14 16:23:57.056,2.271
2026-01-14 16:23:57.071,2.274
2026-01-14 16:23:57.089,2.287
2026-01-14 16:23:57.104,2.295
2026-01-14 16:23:57.105,2.299
2026-01-14 16:23:57.121,2.309
2026-01-14 16:23:57.137,2.321
2026-01-14 16:23:57.155,2.329
2026-01-14 16:23:57.155,2.334
2026-01-14 16:23:57.171,2.341
2026-01-14 16:23:57.187,2.358
2026-01-14 16:23:57.188,2.373
2026-01-14 16:23:57.205,2.376
2026-01-14 16:23:57.221,2.374
2026-01-14 16:23:57.237,2.378
2026-01-14 16:23:57.237,2.386
2026-01-14 16:23:57.255,2.394
2026-01-14 16:23:57.272,2.406
2026-01-14 16:23:57.272,2.428
2026-01-14 16:23:57.288,2.446
2026-01-14 16:23:57.305,2.465
2026-01-14 16:23:57.321,2.473
2026-01-14 16:23:57.321,2.487
2026-01-14 16:23:57.338,2.504
2026-01-14 16:23:57.355,2.524
2026-01-14 16:23:57.356,2.541
2026-01-14 16:23:57.371,2.557
2026-01-14 16:23:57.389,2.572
2026-01-14 16:23:57.405,2.592
2026-01-14 16:23:57.406,2.606
2026-01-14 16:23:57.422,2.622
2026-01-14 16:23:57.438,2.642
2026-01-14 16:23:57.455,2.656
2026-01-14 16:23:57.455,2.677
2026-01-14 16:23:57.471,2.696
2026-01-14 16:23:57.488,2.717
2026-01-14 16:23:57.488,2.743
2026-01-14 16:23:57.504,2.748
2026-01-14 16:23:57.522,2.761
2026-01-14 16:23:57.537,2.772
2026-01-14 16:23:57.538,2.776
2026-01-14 16:23:57.554,2.789
