Timestamp,Distance(m)
2026-01-13 17:00:14.527,1.033
2026-01-13 17:00:14.527,1.026
2026-01-13 17:00:14.543,1.026
2026-01-13 17:00:14.559,1.028
2026-01-13 17:00:14.583,1.026
2026-01-13 17:00:14.583,1.025
2026-01-13 17:00:14.592,1.025
2026-01-13 17:00:14.609,1.029
2026-01-13 17:00:14.609,1.034
2026-01-13 17:00:14.625,1.033
2026-01-13 17:00:14.642,1.038
2026-01-13 17:00:14.659,1.038
2026-01-13 17:00:14.659,1.037
2026-01-13 17:00:14.676,1.041
2026-01-13 17:00:14.693,1.042
2026-01-13 17:00:14.710,1.04
2026-01-13 17:00:14.711,1.043
2026-01-13 17:00:14.727,1.04
2026-01-13 17:00:14.745,1.046
2026-01-13 17:00:14.745,1.048
2026-01-13 17:00:14.760,1.046
2026-01-13 17:00:14.776,1.044
2026-01-13 17:00:14.777,1.046
2026-01-13 17:00:14.792,1.049
2026-01-13 17:00:14.809,1.047
2026-01-13 17:00:14.825,1.044
2026-01-13 17:00:14.825,1.048
2026-01-13 17:00:14.842,1.044
2026-01-13 17:00:14.859,1.039
2026-01-13 17:00:14.875,1.038
2026-01-13 17:00:14.875,1.036
2026-01-13 17:00:14.893,1.035
2026-01-13 17:00:14.910,1.035
2026-01-13 17:00:14.910,1.04
2026-01-13 17:00:14.926,1.044
2026-01-13 17:00:14.943,1.049
2026-01-13 17:00:14.959,1.048
2026-01-13 17:00:14.959,1.048
2026-01-13 17:00:14.976,1.047
2026-01-13 17:00:14.992,1.041
2026-01-13 17:00:15.008,1.039
2026-01-13 17:00:15.008,1.043
2026-01-13 17:00:15.025,1.041
2026-01-13 17:00:15.043,1.044
2026-01-13 17:00:15.044,1.041
2026-01-13 17:00:15.060,1.041
2026-01-13 17:00:15.076,1.043
2026-01-13 17:00:15.094,1.042
2026-01-13 17:00:15.094,1.051
2026-01-13 17:00:15.110,1.051
2026-01-13 17:00:15.126,1.046
2026-01-13 17:00:15.127,1.048
2026-01-13 17:00:15.144,1.057
2026-01-13 17:00:15.160,1.057
2026-01-13 17:00:15.176,1.059
2026-01-13 17:00:15.176,1.054
2026-01-13 17:00:15.193,1.055
2026-01-13 17:00:15.211,1.052
2026-01-13 17:00:15.211,1.052
2026-01-13 17:00:15.226,1.057
2026-01-13 17:00:15.244,1.05
2026-01-13 17:00:15.260,1.049
2026-01-13 17:00:15.260,1.057
2026-01-13 17:00:15.278,1.055
2026-01-13 17:00:15.293,1.053
2026-01-13 17:00:15.310,1.053
2026-01-13 17:00:15.310,1.057
2026-01-13 17:00:15.326,1.055
2026-01-13 17:00:15.343,1.048
2026-01-13 17:00:15.343,1.046
2026-01-13 17:00:15.358,1.044
2026-01-13 17:00:15.389,1.037
2026-01-13 17:00:15.389,1.037
2026-01-13 17:00:15.389,1.039
2026-01-13 17:00:15.409,1.041
2026-01-13 17:00:15.425,1.038
2026-01-13 17:00:15.425,1.039
2026-01-13 17:00:15.442,1.039
2026-01-13 17:00:15.459,1.039
2026-01-13 17:00:15.475,1.041
2026-01-13 17:00:15.476,1.042
2026-01-13 17:00:15.492,1.038
2026-01-13 17:00:15.508,1.033
2026-01-13 17:00:15.509,1.031
2026-01-13 17:00:15.528,1.027
2026-01-13 17:00:15.543,1.025
2026-01-13 17:00:15.560,1.028
2026-01-13 17:00:15.560,1.027
2026-01-13 17:00:15.587,1.023
2026-01-13 17:00:15.587,1.021
2026-01-13 17:00:15.597,1.017
2026-01-13 17:00:15.608,1.021
2026-01-13 17:00:15.625,1.025
2026-01-13 17:00:15.641,1.024
2026-01-13 17:00:15.641,1.018
2026-01-13 17:00:15.659,1.018
2026-01-13 17:00:15.676,1.015
2026-01-13 17:00:15.692,1.018
2026-01-13 17:00:15.692,1.021
2026-01-13 17:00:15.708,1.022
2026-01-13 17:00:15.727,1.019
2026-01-13 17:00:15.727,1.016
2026-01-13 17:00:15.742,1.014
2026-01-13 17:00:15.759,1.015
2026-01-13 17:00:15.774,1.011
2026-01-13 17:00:15.775,1.014
2026-01-13 17:00:15.793,1.01
2026-01-13 17:00:15.808,1.014
2026-01-13 17:00:15.826,1.012
2026-01-13 17:00:15.826,1.024
2026-01-13 17:00:15.843,1.026
2026-01-13 17:00:15.858,1.023
2026-01-13 17:00:15.859,1.019
2026-01-13 17:00:15.875,1.019
2026-01-13 17:00:15.892,1.017
2026-01-13 17:00:15.909,1.014
2026-01-13 17:00:15.909,1.019
2026-01-13 17:00:15.926,1.019
2026-01-13 17:00:15.942,1.019
2026-01-13 17:00:15.942,1.018
2026-01-13 17:00:15.959,1.018
2026-01-13 17:00:15.977,1.019
2026-01-13 17:00:15.993,1.014
2026-01-13 17:00:15.993,1.018
2026-01-13 17:00:16.010,1.019
2026-01-13 17:00:16.026,1.025
2026-01-13 17:00:16.026,1.025
2026-01-13 17:00:16.042,1.026
2026-01-13 17:00:16.060,1.025
2026-01-13 17:00:16.078,1.023
2026-01-13 17:00:16.078,1.022
2026-01-13 17:00:16.093,1.02
2026-01-13 17:00:16.109,1.019
2026-01-13 17:00:16.110,1.02
2026-01-13 17:00:16.126,1.015
2026-01-13 17:00:16.144,1.018
2026-01-13 17:00:16.160,1.017
2026-01-13 17:00:16.161,1.016
2026-01-13 17:00:16.175,1.015
2026-01-13 17:00:16.191,1.016
2026-01-13 17:00:16.210,1.018
2026-01-13 17:00:16.210,1.017
2026-01-13 17:00:16.226,1.016
2026-01-13 17:00:16.242,1.013
2026-01-13 17:00:16.243,1.012
2026-01-13 17:00:16.258,1.018
2026-01-13 17:00:16.275,1.021
2026-01-13 17:00:16.292,1.019
2026-01-13 17:00:16.292,1.018
2026-01-13 17:00:16.308,1.022
2026-01-13 17:00:16.326,1.022
2026-01-13 17:00:16.326,1.022
2026-01-13 17:00:16.342,1.024
2026-01-13 17:00:16.359,1.027
