Timestamp,Distance(m)
2026-01-18 16:31:33.839,24.976
2026-01-18 16:31:33.839,24.964
2026-01-18 16:31:33.855,24.955
2026-01-18 16:31:33.872,24.969
2026-01-18 16:31:33.889,24.975
2026-01-18 16:31:33.889,24.961
2026-01-18 16:31:33.905,24.959
2026-01-18 16:31:33.922,24.964
2026-01-18 16:31:33.923,24.97
2026-01-18 16:31:33.938,24.961
2026-01-18 16:31:33.956,24.957
2026-01-18 16:31:33.972,24.963
2026-01-18 16:31:33.972,24.965
2026-01-18 16:31:33.989,24.954
2026-01-18 16:31:34.006,24.964
2026-01-18 16:31:34.007,24.968
2026-01-18 16:31:34.021,24.963
2026-01-18 16:31:34.039,24.961
2026-01-18 16:31:34.054,24.954
2026-01-18 16:31:34.055,24.952
2026-01-18 16:31:34.071,24.959
2026-01-18 16:31:34.094,24.962
2026-01-18 16:31:34.094,24.96
2026-01-18 16:31:34.106,24.947
2026-01-18 16:31:34.121,24.95
2026-01-18 16:31:34.141,24.952
2026-01-18 16:31:34.141,24.954
2026-01-18 16:31:34.154,24.951
2026-01-18 16:31:34.171,24.954
2026-01-18 16:31:34.187,24.954
2026-01-18 16:31:34.188,24.968
2026-01-18 16:31:34.205,24.969
2026-01-18 16:31:34.222,24.965
2026-01-18 16:31:34.222,24.963
2026-01-18 16:31:34.238,24.962
2026-01-18 16:31:34.254,24.963
2026-01-18 16:31:34.271,24.965
2026-01-18 16:31:34.272,24.969
2026-01-18 16:31:34.287,24.965
2026-01-18 16:31:34.304,24.962
2026-01-18 16:31:34.320,24.958
2026-01-18 16:31:34.320,24.96
2026-01-18 16:31:34.337,24.953
2026-01-18 16:31:34.353,24.956
2026-01-18 16:31:34.353,24.964
2026-01-18 16:31:34.370,24.963
2026-01-18 16:31:34.386,24.964
2026-01-18 16:31:34.406,24.97
2026-01-18 16:31:34.406,24.968
2026-01-18 16:31:34.421,24.964
2026-01-18 16:31:34.439,24.969
2026-01-18 16:31:34.440,24.958
2026-01-18 16:31:34.456,24.959
2026-01-18 16:31:34.472,24.952
2026-01-18 16:31:34.488,24.953
2026-01-18 16:31:34.488,24.957
2026-01-18 16:31:34.504,24.961
2026-01-18 16:31:34.520,24.964
2026-01-18 16:31:34.539,24.963
2026-01-18 16:31:34.539,24.965
2026-01-18 16:31:34.555,24.96
2026-01-18 16:31:34.572,24.966
2026-01-18 16:31:34.572,24.966
2026-01-18 16:31:34.588,24.971
2026-01-18 16:31:34.606,24.973
2026-01-18 16:31:34.606,24.971
2026-01-18 16:31:34.621,24.97
2026-01-18 16:31:34.639,24.97
2026-01-18 16:31:34.656,24.967
2026-01-18 16:31:34.656,24.962
2026-01-18 16:31:34.671,24.969
2026-01-18 16:31:34.691,24.961
2026-01-18 16:31:34.692,24.96
2026-01-18 16:31:34.704,24.965
2026-01-18 16:31:34.723,24.966
2026-01-18 16:31:34.738,24.965
2026-01-18 16:31:34.738,24.965
2026-01-18 16:31:34.754,24.963
2026-01-18 16:31:34.771,24.961
2026-01-18 16:31:34.800,24.957
2026-01-18 16:31:34.801,24.955
2026-01-18 16:31:34.802,24.961
2026-01-18 16:31:34.811,24.957
