Timestamp,Device Name,Address,Distance (m),Confidence Level
1/18/2026 16:22:56.058,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.08,2
1/18/2026 16:22:56.234,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.08,2
1/18/2026 16:22:56.235,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.08,2
1/18/2026 16:22:56.466,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.01,2
1/18/2026 16:22:56.718,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.16,2
1/18/2026 16:22:57.219,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.05,2
1/18/2026 16:22:57.220,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.05,2
1/18/2026 16:22:57.372,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.16,0
1/18/2026 16:22:57.373,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.16,0
1/18/2026 16:22:57.651,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.05,2
1/18/2026 16:22:57.838,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.01,2
1/18/2026 16:22:58.051,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.01,2
1/18/2026 16:22:58.513,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.22,2
1/18/2026 16:22:58.732,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.69,0
1/18/2026 16:22:58.922,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.95,2
1/18/2026 16:22:59.134,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.95,2
1/18/2026 16:22:59.396,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.95,0
1/18/2026 16:22:59.862,Nordic CS Reflector A,E2:13:07:97:B1:7E,43.91,0
1/18/2026 16:22:59.863,Nordic CS Reflector A,E2:13:07:97:B1:7E,43.91,0
1/18/2026 16:23:00.080,Nordic CS Reflector A,E2:13:07:97:B1:7E,43.91,2
1/18/2026 16:23:00.272,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.62,2
1/18/2026 16:23:00.273,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.62,2
1/18/2026 16:23:00.519,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.48,2
1/18/2026 16:23:00.520,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.48,2
1/18/2026 16:23:00.751,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.48,2
1/18/2026 16:23:00.752,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.48,2
1/18/2026 16:23:01.225,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.3,2
1/18/2026 16:23:01.226,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.3,2
1/18/2026 16:23:01.545,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.3,2
1/18/2026 16:23:01.638,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.3,2
1/18/2026 16:23:01.843,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.3,2
1/18/2026 16:23:02.114,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.27,2
1/18/2026 16:23:02.115,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.27,2
1/18/2026 16:23:02.555,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.27,0
1/18/2026 16:23:02.815,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.91,2
1/18/2026 16:23:02.816,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.91,2
1/18/2026 16:23:02.989,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.91,2
1/18/2026 16:23:02.990,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.91,2
1/18/2026 16:23:03.189,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.23,2
1/18/2026 16:23:03.190,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.23,2
1/18/2026 16:23:03.487,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.23,0
1/18/2026 16:23:03.488,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.23,0
1/18/2026 16:23:03.489,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.23,0
1/18/2026 16:23:03.970,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.27,2
1/18/2026 16:23:03.971,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.27,2
1/18/2026 16:23:04.121,Nordic CS Reflector A,E2:13:07:97:B1:7E,19.76,0
1/18/2026 16:23:04.350,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.27,2
1/18/2026 16:23:04.533,Nordic CS Reflector A,E2:13:07:97:B1:7E,16.06,2
1/18/2026 16:23:04.534,Nordic CS Reflector A,E2:13:07:97:B1:7E,16.06,2
1/18/2026 16:23:04.842,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.27,2
1/18/2026 16:23:05.292,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.27,2
1/18/2026 16:23:05.471,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.27,0
1/18/2026 16:23:05.472,Nordic CS Reflector A,E2:13:07:97:B1:7E,11.27,0
1/18/2026 16:23:05.679,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.8,2
1/18/2026 16:23:05.680,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.8,2
1/18/2026 16:23:05.889,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.8,2
1/18/2026 16:23:05.890,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.8,2
1/18/2026 16:23:06.166,Nordic CS Reflector A,E2:13:07:97:B1:7E,15.69,2
